2026-03-27 10:47:21.915 [http-nio-8080-exec-3] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:47:25.886 [http-nio-8080-exec-5] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:47:37.419 [http-nio-8080-exec-10] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:49:54.234 [http-nio-8080-exec-8] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:50:01.926 [http-nio-8080-exec-9] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:50:51.396 [http-nio-8080-exec-2] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:51:22.948 [http-nio-8080-exec-1] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:51:38.810 [http-nio-8080-exec-3] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:52:14.289 [http-nio-8080-exec-4] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:52:16.289 [http-nio-8080-exec-5] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:55:00.021 [http-nio-8080-exec-6] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:55:20.052 [http-nio-8080-exec-7] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:55:50.910 [http-nio-8080-exec-8] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:56:55.540 [http-nio-8080-exec-2] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:58:01.755 [http-nio-8080-exec-3] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 11:01:17.715 [http-nio-8080-exec-5] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 11:01:27.306 [http-nio-8080-exec-10] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 11:02:57.067 [http-nio-8080-exec-7] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 11:03:46.203 [http-nio-8080-exec-8] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 11:04:05.892 [http-nio-8080-exec-9] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 11:04:06.558 [http-nio-8080-exec-2] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
